Participant,Block Design Raw Score,Step,Chest Distance - Add Carrot,HeadCamera Distance - Add Carrot,LeftElbow Distance - Add Carrot,LeftShoulder Distance - Add Carrot,MotionControllerLeft Distance - Add Carrot,MotionControllerRight Distance - Add Carrot,RightElbow Distance - Add Carrot,RightShoulder Distance - Add Carrot
C001,36.0,Add Carrot,288.9996992173385,379.5836658060518,865.5893466323564,584.4943074766795,1058.248779940966,1419.6095421431078,918.493992687966,677.1223711882387
C003,58.0,Add Carrot,342.4194847156004,393.8999836881409,1100.3423642282016,516.5830228255122,994.127968155518,1303.6293604463065,870.2511079063468,627.7406897584082
C006,42.0,Add Carrot,242.2278294569525,497.6504443725899,357.158209032693,437.66000818999856,1105.5800459225766,2196.767365342581,1636.134401840777,1063.9178835913458
C008,34.0,Add Carrot,818.8670186428153,990.3373152914148,1028.366151311819,950.469346301138,1062.4380611752651,3460.55426993924,2789.4081169512265,1910.3936506533305
C009,24.0,Add Carrot,649.7428631125891,966.4204348456876,841.5979111282262,738.418391615165,783.5982914719197,3130.2280253767813,2427.025740974361,1648.6635203463009
C012,54.0,Add Carrot,154.77487567127025,228.36936930385605,357.0555227268991,251.00030734286992,533.4299206377028,1497.2551581414127,901.9437394182634,545.2043343718881
C013,48.0,Add Carrot,1109.909673080433,1233.38576379009,1987.304043975686,1717.143780600736,2655.640644812224,2106.0481499526863,1773.1622853815636,1461.9764854828347
C016,39.0,Add Carrot,190.1017023908075,260.8234211537515,730.3162326256545,547.7174731550249,882.8431514265411,1197.0116471061926,939.5627077294008,690.8014690711865
C017,36.0,Add Carrot,331.2775321206402,490.2459220076927,811.7335633773763,510.2116972319808,1143.4691492226775,1371.0365297539213,1075.2188267210352,721.4183780647985
C020,30.0,Add Carrot,334.760673065991,451.0811318449726,783.7824218650135,568.6379912282194,982.2697544050396,1316.7641436286783,918.493992687966,677.1223711882387
C021,29.0,Add Carrot,633.0834207119943,864.4044042002529,1108.7625537941217,944.1349312961856,1396.4617735396905,2195.5950600154856,1688.188262232508,1161.7365681887818
C024,42.0,Add Carrot,208.6199290534905,282.20239338183376,316.89943797926657,258.0305161386902,396.5199956028275,1659.235325324333,1079.668191938552,779.8398375634674
C025,24.0,Add Carrot,461.51403011126456,720.0511206441018,423.5086865895137,516.4918674063294,571.8266835259283,1891.8639255278065,1400.0118993200358,917.926357155367
C028,50.0,Add Carrot,579.994565590899,1121.6485136693686,267.1492978169249,404.5832114839064,381.3664735218133,3082.596656496458,2437.484268501691,1729.9581160538105
C032,63.0,Add Carrot,208.6199290534905,217.24434841108368,128.40421592633302,155.44460095095857,221.2627563739222,1410.0688843992502,1027.0805398925002,643.7285757796294
