Participant,Block Design Raw Score,Step,Chest Distance - Add Tomato,HeadCamera Distance - Add Tomato,LeftElbow Distance - Add Tomato,LeftShoulder Distance - Add Tomato,MotionControllerLeft Distance - Add Tomato,MotionControllerRight Distance - Add Tomato,RightElbow Distance - Add Tomato,RightShoulder Distance - Add Tomato
C001,36.0,Add Tomtato,327.6838998644613,393.8911765068916,421.34949309919017,372.0809495651165,534.8774300134114,1203.6028117595315,777.3237673015633,535.4938107358843
C003,58.0,Add Tomtato,250.9080240804193,284.9721325531334,284.5437197617525,392.95478609495024,394.1837047678215,1164.5391443738397,777.3237673015633,535.4938107358843
C006,42.0,Add Tomtato,137.55444934978536,292.52296230807696,297.4784224997245,222.14424451023592,357.1392494578981,1144.0924567467491,582.5682237094641,502.1707344292919
C008,34.0,Add Tomtato,534.6727866317071,641.9977309832743,985.6547789881288,776.2999032016307,1146.152361190051,1622.516570479747,1321.6378565727985,935.8175689278946
C009,24.0,Add Tomtato,451.36427436468256,575.4071648243205,664.9914452133312,555.3461913832548,697.5233229901731,1703.7990526178255,1329.4959300693808,926.3314704587024
C012,54.0,Add Tomtato,183.31174732623649,242.2732523836675,250.69652555117,196.16162109104692,252.34401553180237,1383.0854285152952,887.7169488996738,549.52743325374
C013,48.0,Add Tomtato,561.5964750747357,644.710723666827,864.9692941587571,808.7118317558719,1153.1629986260984,1091.0677955303938,988.353981223786,805.6111370562728
C016,39.0,Add Tomtato,141.03359736923906,289.0545500552781,487.8461859051549,349.7653178748998,651.5659778279468,828.9969956973812,580.0512285550552,377.98939944336456
C017,36.0,Add Tomtato,343.4639213702581,466.1455821675714,586.1533049390995,467.0164108637654,659.1376257094387,1320.842585081588,973.924385072554,657.8619785368817
C020,30.0,Add Tomtato,405.8659178155924,548.7184950404719,366.7057111684642,409.7312684149421,434.8568433047256,1515.5970536675254,1131.609959712588,802.3840956777865
C021,29.0,Add Tomtato,293.2586099662996,433.36312334381705,383.53551954524346,430.2477609321981,392.8210283681303,1663.0885015631595,1257.335742596943,759.9456867924831
C024,42.0,Add Tomtato,171.47520331018748,258.3853461831346,255.4910136076912,224.2800678018677,312.33693483577287,1189.7278458765795,758.4970541734455,532.4661950362411
C025,24.0,Add Tomtato,365.23441141719496,576.6962339121611,381.4546120801711,476.92936443821895,453.7004214458646,1305.6125244618763,944.9673760235036,637.8768510116732
C028,50.0,Add Tomtato,295.67351439970764,501.2539146309898,159.42888600397654,230.0655539737524,165.70864834649845,1478.864015394166,1071.8200061107066,787.5438546864997
C032,63.0,Add Tomtato,171.47520331018748,199.8316036272476,119.6785133871782,149.4601012389035,159.04348300108552,939.0501946946084,717.8441158462565,461.5300708722007
