Participant,Block Design Raw Score,Step,Chest Distance - Stir Stew,HeadCamera Distance - Stir Stew,LeftElbow Distance - Stir Stew,LeftShoulder Distance - Stir Stew,MotionControllerLeft Distance - Stir Stew,MotionControllerRight Distance - Stir Stew,RightElbow Distance - Stir Stew,RightShoulder Distance - Stir Stew
C001,36.0,Stir Stew,90.13835817460082,134.12013405580774,120.82992539684768,124.00987632996817,132.6235594550514,445.5043185661849,366.899345322207,233.5730495977409
C003,58.0,Stir Stew,40.532866523198834,107.5580077336291,34.80140482923086,28.18345607472756,35.260268343757815,502.9330107059928,265.4852119783826,184.38878972124536
C006,42.0,Stir Stew,42.021392049249926,157.3653898991646,186.65036518282184,49.179453635318495,118.32491881646098,674.2576027448672,453.228288552884,283.03991052328706
C008,34.0,Stir Stew,239.41214318310972,466.5612586115476,498.90619354596487,510.5010634111231,454.2370102515208,1191.4928080532416,997.8015327705303,734.3398781018784
C009,24.0,Stir Stew,180.46224841486853,252.34743628673635,291.379632390836,246.46479108994828,261.80325371735864,769.3685525455567,639.7241184862685,437.6518703164698
C012,54.0,Stir Stew,102.16257934375732,132.24678023289337,186.65036518282184,137.93538371585933,201.91607520370383,762.6278792730113,552.5923539892322,325.5031832569581
C013,48.0,Stir Stew,1119.0049572528303,1240.7109259426811,1247.1385689788096,1258.734392312236,1589.584368008405,2816.012171838417,2422.9453109293204,1833.9090728324784
C016,39.0,Stir Stew,149.04194601958034,195.89394277287687,224.3340380650261,224.64275776972136,216.27072954423403,770.1657327974659,545.8963401215016,398.5325941409181
C017,36.0,Stir Stew,54.38855955433412,147.6379183787646,54.86575168745164,77.49642006334616,114.79872041745357,419.4185385526637,281.6674433803985,182.84289116149452
C020,30.0,Stir Stew,98.02499313339678,145.70480864066735,99.13399940709591,115.3004415500188,117.8829082006506,487.3705696528432,366.899345322207,233.5730495977409
C021,29.0,Stir Stew,269.0376180673412,340.105609770346,408.2778061736999,400.8949752672247,433.4490794486359,1172.3725064924872,872.0238933210911,566.3639668429239
C024,42.0,Stir Stew,109.857013021494,185.64262544921968,174.85582879467026,158.36172605196407,202.13866008536624,828.0912400517516,524.2742739535154,383.8710797161633
C025,24.0,Stir Stew,110.17292227752505,175.2533368209936,96.55917198628548,116.11868486814924,151.0521941927737,471.7503322217999,382.2433502250933,243.8465237851673
C028,50.0,Stir Stew,135.36045562697996,244.1127895227279,97.63430063300814,105.90881275025464,109.14841752673264,760.0809348160608,573.4448595057879,397.5523903517088
C032,63.0,Stir Stew,54.38855955433412,101.15953502835652,54.86575168745164,65.83775015275187,86.18243752435592,424.37215033085374,296.94923436872216,191.77715898222257
